alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
02_A_0019,Guayaba,,,,,
02_A_0020,Limón,,,,,
02_B_0001,"Puntas de chayote",,,,,
02_B_0002,"Atol agrío",,,,,
02_B_0003,"Tamal de frijol",,,,,
02_B_0004,"Pozol de maíz",,,,,
02_B_0005,"Huevo en hoja de plátano",,,,,
02_B_0006,"Chile con maza y huevo hervido",,,,,
02_B_0007,"Tamal de elote",,,,,
02_B_0008,"Puntas de calabaza",,,,,
02_B_0009,"Caldo de pollo",,,,,
02_B_0010,"Caldo de res",,,,,
02_B_0011,"Atol de guayaba",,,,,
02_B_0012,"Agua de lima",,,,,
02_B_0013,"Atol de chilacayote",,,,,
02_B_0014,"Agua de limón",,,,,
02_B_0015,"Elote hervido",,,,,
02_B_0016,Jilote,,,,,
02_B_0017,"Hojas de mostaza cocidas",,,,,
02_B_0018,"Caldo de chipilín",,,,,
03_A_0001,Maíz,"64.6 g",,"4.8 g","8.3 g",
03_A_0002,"Hierba mora","52.6 g",,"4.2 g","15.6 g",
03_A_0003,"Guía de chayote","52 g",,"4.1 g","20 g",
03_A_0004,Chayote,"7.92 g","35 kcal","0.26 g","1.66 g",
03_A_0005,Frijol,"58.5 g",,"1.8 g","22.7 g",
03_A_0006,Epazote,"19.1 g",,"16.3 g","19.3 g",
03_A_0007,Mango,"12.8 g","60 kcal","0.4 g","0.6 g",
03_A_0008,Canela,,,,,
03_A_0009,"Quelie de izote",,,,"26 g",
03_A_0010,Chipile,"53.4 g",,"3.8 g","10.3 g",
03_A_0011,"Plátano verde","20.8 g",,"0.2 g","1 g",
03_A_0012,"Calabaza 1","4.6 g","29 kcal","0.1 g","1.1 g",
03_A_0013,Chicayuma,,,,,
03_A_0014,Piñón,,,,,
03_A_0015,Chile,,,,,
03_A_0016,"Ejotes o frijol tierno",,,,,
03_A_0017,Elote,"23.5 g","98 kcal","0.8 g","3.3 g",
03_A_0018,Calabacitas,"3 g","16 kcal","2 g","1 g",
03_A_0019,"Calabaza 2","3 g","17 kcal","2 g","2 g",
03_A_0020,"Guías de calabaza",,,,,
03_A_0021,"Ya'o inu nima","61.6 g",,"3.7 g","8.1 g",
03_A_0022,"Quelite de leche",,,,,
03_A_0023,"Hongo pata de pájaro","12.77 g","79.31 kcal","3.76 g","62.78 g",
03_A_0024,Jitomate,,,,,
03_A_0025,Cebolla,,,,,
03_A_0026,"Hongo caca de burro",,,,,
03_A_0027,"Hongo cuerno de venado",,,,"1.1 g",
03_A_0028,"Hongo de encino",,,,,
03_A_0029,"Panalde avispa 1",,"591.9 kcal","44.57 g","63.9 g",
03_A_0030,"Panal deavispa 2",,"591.9 kcal","44.57 g","63.9 g",
03_A_0031,Escarabajo,,,,,
03_A_0032,"Limón agrio",,,,,
03_A_0033,Chicatana,,"390.3 kcal",,,
03_A_0034,Plátano,,,,,
03_A_0035,Chapulín,,,"4.29 g","63.6 g",
03_A_0036,"Huevo de pollo",,"141 g","9.7 g","12.7 g",
03_A_0037,"Yerba santa",,,,,
03_A_0038,Pescado,,,"960.3 g","981.1 g",
03_A_0039,Charal,,,,,
03_A_0040,"Chile guajillo",,,,,
03_A_0041,"Hoja de plátano",,,,,
03_A_0042,"Carne de pájaro",,,,,
03_A_0043,"Carne de tlacuache",,,,,
03_A_0044,"Carne de res",,,"9.2 g","22.7 g",
03_A_0045,Zanahoria,,,,,
03_A_0046,Papa,,,,,
03_A_0047,Pollo,,"141 kcal","9.7 g","12.7 g",
03_A_0048,Comino,,,,,
03_A_0049,"Zacate limón",,,,,
03_A_0050,Jengibre,,,,,
03_A_0051,Café,,,,,
03_A_0052,Cal,,,,,
03_A_0053,Agua,,,,,
03_A_0054,Sal,,,,,
03_A_0055,"Manteca de cerdo",,,,,
03_A_0056,Bicarbonato,,,,,
03_A_0057,"Flor de calabaza",,,,,
03_A_0058,"Fruto de calabaza",,,,,
03_A_0059,"Panza de res",,,,,
03_A_0060,Ajo,,,,,
03_A_0061,Jamaica,,,,,
03_B_0001,Tortilla,,"218 kcal",,,
03_B_0002,"Quelite hierba mora",,,,,
03_B_0003,"Quelitede chayote",,,,,
03_B_0004,"Chayotes hervidos",,"35 kcal",,,
03_B_0005,Frijoles,,,,,
03_B_0006,"Atole de mango",,,,,
03_B_0007,"Quelite de izote",,,,,
03_B_0008,"Quelite de chipile",,,,,
03_B_0009,"Tamales de chipile",,,,,
03_B_0010,"Plátano de manteca",,,,,
03_B_0011,"Quelite chicayuma",,,,,
03_B_0012,"Salsa de piñón",,,,,
03_B_0013,"Tamales de ejote",,,,,
03_B_0014,"Calabaza dulce",,,,,
03_B_0015,"Quelite de calabaza",,,,,
03_B_0016,"Quelite de frijol",,,,,
03_B_0017,"Tamales de elote",,"98 kcal",,,
03_B_0018,"Calabaza asada",,"29 kcal",,,
03_B_0019,"Elotes hervidos",,"98 kcal",,,
03_B_0020,"Quelite de leche",,,,,
03_B_0021,"Hongo pata de pájaro a la mexicana",,,,,
03_B_0022,"Caldo de hongo pata de pájaro",,,,,
03_B_0023,"Quesadilla de hongo pata de pájaro",,,,,
03_B_0024,"Hongo caca de burro asado",,,,,
03_B_0025,"Hongo caca de burro a la mexicana",,,,,
03_B_0026,"Hongo cuerno de venado en caldo",,,,,
03_B_0027,"Caldo de hongo de encino",,,,,
03_B_0028,"Salsa de panal de avispa 1",,,,,
03_B_0029,"Salsa de panal de avispa 2",,,,,
03_B_0030,"Caldo de chicatana con plátano",,,,,
03_B_0031,"Chicatana asada",,,,,
03_B_0032,"Tacos de chapulín asado",,,,,
03_B_0033,"Huevo asado con yerba santa",,,,,
03_B_0034,"Pescado frito",,,,,
03_B_0035,"Caldo rojo de charal",,,,,
03_B_0036,"Charal asado con hoja de plátano",,,,,
03_B_0037,"Pájaro asado",,,,,
03_B_0038,"Caldo de tlacuache",,,,,
03_B_0039,"Caldo de res",,,,,
03_B_0040,"Caldo de pollo",,,,,
03_B_0041,"Té de canela",,,,,
03_B_0042,"Té zacate limón",,,,,
03_B_0043,"Té de jengibre",,,,,
03_B_0044,Café,,,,,
03_B_0045,"Té de elote",,,,,
03_B_0046,"Quesadillas de queso",,,,,
03_B_0047,"Pan dulce",,,,,
03_B_0048,Pan,,,,,
03_B_0049,"Caldo de calabaza",,,,,
03_B_0050,"Agua de piña",,,,,
03_B_0051,"Caldo de panza de res",,,,,
03_B_0052,"Agua de jamaica",,,,,
03_B_0053,"Tacos de escarabajo asado",,,,,
03_C_0001,Azúcar,,,,,
03_C_0002,Aceite,,,,,
03_C_0003,Galletas,,,,,
04_A_0001,Aguacate,,"148 kcal",,,
04_A_0002,Akaba,,,,,
04_A_0003,Aparike,,,,,
04_A_0004,Ari,,,,,
04_A_0005,"Ardilla mexicana",,,,,
04_A_0006,Ardillón,,,,,
04_A_0007,Aureli,,,,,
04_A_0008,"Bagre de canal",,,,,
04_A_0009,Basorí,,,,,
04_A_0010,Bayusa,,,,,
04_A_0011,Cacahuate,,,,,
04_A_0012,Calabaza,,,,,
04_A_0013,Capulín,,,,,
04_A_0014,Carpa,,,,,
04_A_0015,"Chico Sapote",,,,,
04_A_0016,Chilacayote,,,,,
04_A_0017,Chile,,,,,
04_A_0018,Chimoko,,,,,
04_A_0019,Chimori,,,,,
04_A_0020,Chipawiki,,,,,
04_A_0021,Chiwi,,,,,
04_A_0022,Cilantro,,,,,
04_A_0023,Ciruela,,,,,
04_A_0024,"Codorniz, perdiz",,,,,
04_A_0025,"Conejo de monte",,,,,
04_A_0026,Echabogame,,,,,
04_A_0027,Fresa,,,,,
04_A_0028,Frijol,,,,,
04_A_0029,Frijoles,,,,,
04_A_0030,Girasol,,,,,
04_A_0031,Guayaba,,,,,
04_A_0032,"Gusanos de madroño",,,,,
04_A_0033,Habas,,,,,
04_A_0034,"Hierba anís",,,,,
04_A_0035,Igualamo,,,,,
04_A_0036,Jabalí,,,,,
04_A_0037,Jaltomate,,,,,
04_A_0038,Lentejas,,,,,
04_A_0039,"Liebre de cola negra",,,,,
04_A_0040,Limón,,,,,
04_A_0041,"Lobina negra",,,,,
04_A_0042,Machi,,,,,
04_A_0043,Mandarina,,,,,
04_A_0044,Mango,,,,,
04_A_0045,Manzana,,,,,
04_A_0046,Manzana,,,,,
04_A_0047,Membrillo,,,,,
04_A_0048,"Mojarra tilapia",,,,,
04_A_0049,Mori,,,,,
04_A_0050,Morochique,,,,,
04_A_0051,Muni,,,,,
04_A_0052,Naranja,,,,,
04_A_0053,Nopales,,,,,
04_A_0054,Nuez,,,,,
04_A_0055,Papa,,,,,
04_A_0056,"Papa coyote",,,,,
04_A_0057,Papache,,,,,
04_A_0058,Papaya,,,,,
04_A_0059,Pera,,,,,
04_A_0060,Piñón,,,,,
04_A_0061,Pitaya,,,,,
04_A_0062,Puercoespín,,,,,
04_A_0063,"Quelite de agua",,,,,
04_A_0064,Repollo,,,,,
04_A_0065,Rerowi,,,,,
04_A_0066,Rochiwari,,,,,
04_A_0067,Rurusi,,,,,
04_A_0068,"Sapote blanco",,,,,
04_A_0069,Sepe,,,,,
04_A_0070,Talayote,,,,,
04_A_0071,Tomatillo,,,,,
04_A_0072,"Trucha arcoíris",,,,,
04_A_0073,U´li,,,,,
04_A_0074,Venado,,,,,
04_A_0075,Verdolaga,,,,,
04_A_0076,Jitomate,,,,,
04_A_0077,Orégano,,,,,
04_A_0078,Pimienta,,,,,
04_A_0079,Cebolla,,,,,
04_A_0080,Camarón,,"19 kcal",,,
04_A_0081,Ajo,,,,,
04_A_0082,Coles,,,,,
04_A_0083,Durazno,,,,,
04_A_0084,"Calabaza de la barranca",,,,,
04_A_0085,"Semillas de calabaza",,,,,
04_A_0086,"Maíz cristalino (chacales)",,,,,
04_A_0087,"Maíz cristalino blanco (esquiate, izquiate)",,"362 kcal",,,
04_A_0088,"Maíz blando (esquite)",,"362 kcal",,,
04_A_0089,"Maíz cristalino (pinole)",,"362 kcal",,,
04_A_0090,"Maíz azul (pinole)",,"362 kcal",,,
04_A_0091,"Maíz blanco (tesguino)",,"362 kcal",,,
04_A_0092,"Triguillo (tesguino)",,,,,
04_A_0093,Sal,,,,,
04_A_0094,Agua,,,,,
04_A_0095,Manteca,,,,,
04_A_0096,Leche,,,,,
04_A_0097,Chiltepín,,,,,
04_A_0098,Cerdo,,,,,
04_A_0099,Vaca,,,,,
04_A_0100,Gallina,,,,,
04_A_0101,Borrego,,,,,
04_A_0102,Cabra,,,,,
04_A_0103,Conejo,,,,,
04_B_0001,Aguachile,,,,,
04_B_0002,"Calabaza deshidratada",,,,,
04_B_0003,Chacales,,,,,
04_B_0004,"Esquiate, izquiate",,,,,
04_B_0005,Esquite,,,,,
