alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
5072,bebida de cafe  industrializada,12.6,71.0,1.38,1.98,
5073,"bebida de chocolate con agua (sin masa, ni maicena), preparacion estandarizada",16.13,85.43,2.02,0.74,
5074,"bebida de soya endulzada (tipo ades), industrializada",5.44,27.97,0.41,0.61,
5075,"bebida embotellada sabor naranja y toronja (no jugo), sin gas",11.42,45.68,0.0,0.0,
5076,"bebida embotellada sabor uva (no jugo), sin gas",9.36,37.42,0.0,0.0,
5077,"bebida energetica (tipo red bull, boost, monster)",10.65,43.1,0.02,0.07,
5078,"bebida rehidratante (gatorade, powerade)",5.62,22.5,0.0,0.0,
5079,bebidas o aguas de sabor con azucar adicionada (industrializadas),10.4,40.4,0.0,0.02,
5080,bebidas o aguas de sabor sin azucar adicionada,0.0,0.0,0.0,0.0,
5081,"cafe capuccino, preparacion estandarizada",8.06,49.26,1.4,1.52,
5082,cafe con azucar,5.23,22.5,0.01,0.35,
5083,"cafe con azucar, en polvo",68.5,394.45,9.05,9.75,
5084,"cafe con leche con azucar, preparacion estandarizada",8.28,50.8,1.39,1.48,
5085,"cafe con leche sin azucar, preparacion estandarizada",3.19,33.33,1.55,1.65,
5086,"cafe de grano descafeinado, preparado con agua",0.0,0.0,0.0,0.1,
5087,cafe de grano en polvo,63.4,226.0,14.8,12.6,
5088,"cafe diluido sin azucar, industrializado",0.34,2.0,0.0,0.1,
5089,"cafe diluido sin azucar, preparacion estandarizada",1.54,7.2,0.01,0.25,
5090,"cafe enriquecido, en polvo",64.53,295.15,2.15,12.91,
5091,"cafe expresso, preparacion estandarizada",61.14,286.22,0.41,9.89,
5092,"cafe frappe (moka, capuccino, c/ chantilli, etc.), preparacion estandarizada",13.4,67.0,0.93,1.53,
5093,"cafe instantaneo descafeinado, preparado con agua",0.43,2.0,0.0,0.12,
5094,"cafe instantaneo, en polvo (tipo nescafe clasico)",75.4,353.0,0.5,12.2,
5095,"cafe o te con azucar, preparacion estandarizada",2.63,10.69,0.0,0.1,
5096,cafe promedio (con azucar y sin azucar),3.67,15.0,0.01,0.12,
5097,cerveza de raiz (sin alcohol),10.6,41.0,0.0,0.0,
5098,"esquimo casero (todos sabores), preparacion estandarizada",11.05,94.13,2.78,2.73,
5099,"formula lactea entera (tipo nutrileche), fluida",5.67,55.67,3.0,1.92,
5100,"frape de frutas con leche, helado o yogurt (smoothie), industrializado",13.38,100.0,4.58,2.5,
5101,"frappe de frutas, sin leche (todos sabores), industrializado",9.39,45.44,0.55,0.94,
5102,"frapuccino (promedio), preparaci?n estandarizada",10.2,61.43,1.92,1.1,
5103,"frapuccino c/chocolate leche light, preparacion estandarizada",11.15,60.43,1.39,1.1,
5104,"frapuccino c/chocolate regular, preparacion estandarizada",11.22,68.24,2.18,1.19,
5105,"frapuccino de caf? c/leche light, preparacion estandarizada",9.17,54.15,1.62,1.01,
5106,"frapuccino de caf? regular, preparacion estandarizada",9.25,62.89,2.5,1.11,
5107,hielo en cubos,0.0,0.0,0.0,0.0,
5108,jarabes de sabores (concentrados para agua de sabor),58.22,289.1,2.96,1.51,
5109,"jugo de arandano, industrializado",14.28,59.4,0.18,0.25,
5110,"jugo de arroz, preparacion estandarizada",1.39,6.35,0.01,0.12,
5111,"jugo betabel con azãcar, natural",9.05,36.13,0.05,0.77,
5112,"jugo de betabel, natural",5.1,20.87,0.05,0.8,
5113,"jugo de caãa de azucar, natural",20.5,84.0,0.1,0.3,
5114,"jugo de ciruela pasa, industrializado",15.24,60.42,0.0,0.13,
5115,"jugo de fruta con verdura, industrializado (tipo chispazo)",8.85,35.24,0.0,0.14,
5116,"jugo de fruta con verdura, natural",11.15,46.0,0.01,0.3,
5117,"jugo de frutas con verduras con azãcar, natural",14.85,60.21,0.01,0.29,
5118,"jugo de frutas, industrializado (tipo boing, del valle, sonrisa y jumex)",12.64,50.91,0.11,0.13,
5119,"jugo de limon, natural",6.9,22.0,0.24,0.35,
5120,"jugo de manzana, industrializado",9.57,38.23,0.0,0.01,
5121,"jugo de naranja con azãcar, natural",14.71,52.54,0.53,0.29,
5122,"jugo de naranja, industrializado",11.45,47.17,0.03,0.29,
5123,"jugo de naranja, natural",11.0,38.0,0.55,0.3,
5124,"jugo de noni, natural",4.03,17.94,0.2,0.53,
5125,"jugo de piãa, industrializado",11.09,43.97,0.0,0.0,
5126,"jugo de piãa, natural",12.87,53.0,0.12,0.36,
5127,"jugo de tomate con almeja (clamato), industrializado",4.68,21.2,0.09,0.44,
5128,"jugo de tomate, industrializado",4.73,20.55,0.0,0.4,
5129,"jugo de toronja con azãcar, natural",12.98,53.5,0.1,0.48,
5130,"jugo de toronja, industrializado",12.4,52.15,0.08,0.45,
5131,"jugo de toronja, natural",9.2,39.0,0.1,0.5,
5132,"jugo de uva, industrializado",13.39,54.42,0.0,0.07,
5133,"jugo de verduras, industrializado",3.25,14.68,0.0,0.42,
5134,"jugo de zanahoria con azãcar, natural",11.55,44.88,0.11,0.67,
5135,"jugo de zanahoria, natural",7.7,30.0,0.11,0.7,
5136,jugos naturales sin azucar adicionada naranja/zanahoria (promedio),9.84,42.5,0.17,0.82,
5137,jugos o aguas de frutas con azucar adicionada (promedio),10.97,43.86,0.02,0.08,
5138,"licuado (todos sabores), industrializado",12.51,68.42,1.32,1.62,
5139,"licuado de cereales (avena, granola), preparacion estandarizada",15.19,110.93,3.74,3.69,
5140,"licuado de fresa, preparacion estandarizada",9.73,70.77,2.54,2.56,
5141,"licuado de frutas, preparacion estandarizada",13.35,78.08,2.11,2.33,
5142,"licuado de mamey, preparacion estandarizada",10.49,71.96,2.36,2.32,
5143,"licuado de mango, preparacion estandarizada",12.45,69.64,1.74,1.92,
5144,"licuado de manzana, preparacion estandarizada",11.76,71.43,1.91,1.91,
5145,"licuado de melon, preparacion estandarizada",9.85,74.78,2.77,2.76,
5146,"licuado de nuez y coco, preparacion estandarizada",10.69,123.36,7.97,3.26,
5147,"licuado de papaya, preparacion estandarizada",9.95,69.16,2.27,2.35,
5148,"licuado de platano, preparacion estandarizada",13.35,78.08,2.11,2.33,
5149,"licuado light (todos sabores), industrializado",21.58,96.0,0.39,3.68,
5150,licuado promedio,10.59,80.25,3.24,2.87,
5151,"malteada de vainilla, industrializada",10.24,66.76,1.6,2.85,
5152,"malteada, preparacion estandarizada",12.55,133.9,6.25,3.01,
5153,"naranjada/limonada, preparacion estandarizada",9.32,35.15,0.03,0.12,
5154,"nectar de frutas, industrializado",14.27,56.0,0.16,0.13,
5155,polvo para bebida con azucar (tipo tang),98.94,386.0,0.0,0.0,
5156,polvo para bebida con edulcorante (tipo clight),19.88,82.99,0.0,0.0,
5157,polvo para bebida sin endulzante (tipo clight),60.22,248.24,0.0,3.2,
5158,polvo para caf? capuchino y moka (con az?car),85.08,406.58,7.25,1.1,
5159,"polvo para preparar bebida, promedio (con azucar, sin azucar y con edulcorante)",68.4,222.61,0.15,0.41,
5160,"polvo para te, (tipo nestea, sin azucar)",91.52,368.0,0.0,0.32,
5161,"ponche de frutas, industrializado",11.94,47.0,0.0,0.0,
5162,"ponche de frutas, preparacion estandarizada",11.63,46.49,0.09,0.22,
5163,"pozol (bebida), preparacion estandarizada",14.31,96.1,3.79,1.49,
5164,"refresco de cola (coca-cola, pepsi, bigcola)",11.19,44.1,0.0,0.0,
5165,"refresco de manzana, industrializado",11.1,44.4,0.0,0.0,
5166,"refresco de sabor (naranja, toronja, etc.)",10.85,43.49,0.0,0.06,
5167,refresco de sabor limon y lima,9.48,37.92,0.0,0.0,
5168,"refresco light (todos los sabores, excepto cola)",0.25,0.95,0.0,0.0,
5169,refresco naranja,12.3,48.0,0.0,0.0,
5170,refresco sabor lima-limon,10.42,41.0,0.0,0.09,
5171,refresco sabor uva,11.2,43.0,0.0,0.0,
5172,"refresco, de cola light o de dieta",1.9,7.58,0.0,0.0,
5173,"refresco, ginger ale",9.44,37.85,0.0,0.0,
5174,"suero, preparacion estandarizada",1.32,5.29,0.0,0.0,
5175,"te (infusion sin azucar), preparacion estandarizada",0.0,0.01,0.0,0.0,
5176,te (promedio),0.2,1.0,0.0,0.0,
5177,"te arizona (todos sabores) fluido, industrializado",11.34,45.95,0.0,0.0,
5178,"te de manzanilla, infusion",0.2,1.0,0.0,0.0,
5179,"te helado industrializado (tipo nestea, lipton)",7.91,31.51,0.0,0.0,
5180,"te negro descafeinado, infusion",0.3,1.0,0.0,0.0,
5181,"te negro, infusion",0.3,1.0,0.0,0.0,
5182,te o cafe para adelgazar,44.0,176.0,0.0,0.0,
5183,"te o infusion con azucar u otro endulzante (miel, piloncillo, etc, promedio)",4.2,16.48,0.0,0.0,
5184,"te otros sabores excepto manzanilla, infusion",0.2,1.0,0.0,0.0,
5185,aguardiente,0.0,211.0,0.0,0.0,
5186,aguardiente (50% alcohol),0.0,295.0,0.0,0.0,
5187,"bebida alcoholica con leche, (pina colada, alfonso xiii), preparacion estandarizada",21.59,143.31,2.76,2.68,
5188,"bebida alcoholica sin leche (mojito, paloma, etc), preparacion estandarizada",10.28,69.49,0.04,0.16,
5189,cerveza (alcohol 4.5%),3.55,43.0,0.0,0.46,
5190,cerveza light (alcohol 4.0%),1.64,29.0,0.0,0.24,
5191,"cerveza michelada, preparacion estandarizada",4.75,40.78,0.03,0.53,
5192,"daiquiri , bebida alcoholica",6.94,186.0,0.06,0.06,
5193,ginebra (45% alcohol),0.0,315.0,0.0,0.0,
5194,licor de cafe (26.5% alcohol),46.8,336.0,0.3,0.1,
5195,"piãa colada, bebida alcoholica",22.66,174.0,1.88,0.42,
5196,pulque,6.1,47.0,0.0,0.4,
5197,"rompope casero, preparacion estandarizada",12.51,140.89,3.42,2.82,
5198,"rompope, industrializado",8.05,88.0,4.19,4.55,
5199,ron (40% alcohol),0.0,231.0,0.0,0.0,
5200,sidra (rosada o blanca),11.3,46.0,0.13,0.1,
5201,"tejuino (bebida de maiz fermentada), preparacion estandarizada",24.32,102.42,0.37,0.7,
5202,"tepache (fermentado de pina), preparacion estandarizada",21.65,86.54,0.0,0.0,
5203,tequila,0.0,231.0,0.0,0.0,
5204,vino blanco o rosado,3.2,82.5,0.0,0.22,
5205,vino tinto,2.61,85.0,0.0,0.07,
5206,vodka (40% alcohol),0.0,231.0,0.0,0.0,
5207,whisky (43% alcohol),0.1,250.0,0.0,0.0,
6000,avestruz (promedio),0.0,115.0,1.96,22.86,
6001,"carnero, cabeza cocida",0.0,111.0,5.6,14.2,
6002,"carnero, carne grasosa",0.0,287.0,25.0,15.6,
6003,"carnero, higado",2.9,141.0,5.0,21.0,
6004,"carnero, magra con hueso",0.0,160.0,8.61,20.65,
6005,"carnero, magra sin hueso",0.0,154.0,8.3,19.72,
6006,"carnero, patas cocidas",0.0,103.0,2.1,21.0,
6007,"carnero, semigrasosa",0.0,243.0,18.89,17.06,
6008,"cerdo, carne cocida",0.0,211.0,10.5,27.69,
6009,"cerdo, carne en canal",0.0,214.0,17.8,13.9,
6010,"cerdo, carne magra (sin grasa ni hueso)",1.0,130.0,5.2,19.8,
6011,"cerdo, carne molida",0.0,263.0,21.19,16.88,
6012,"cerdo, carne promedio",0.0,180.0,12.6,16.7,
6013,"cerdo, cecina",0.8,346.0,21.0,38.4,
6014,"cerdo, chuleta ahumada",0.0,170.0,9.03,20.71,
6015,"cerdo, costilla semigrasosa",0.0,286.0,23.6,18.5,
6016,"cerdo, cueritos",0.0,217.0,14.01,25.03,
6017,"cerdo, espaldilla",1.29,174.0,11.51,16.2,
6018,"cerdo, higado",2.5,129.0,3.7,21.4,
6019,"cerdo, patas frescas",0.0,258.0,18.8,22.1,
6020,"cerdo, pulmon",0.0,81.0,2.7,14.1,
6021,"cerdo, riãones",0.0,100.0,3.25,16.46,
6022,"cerdo, semigrasosa",1.0,204.0,13.9,18.8,
6023,chicharron de cerdo (con grasa),0.0,582.0,39.27,57.1,
6024,iguana (promedio),0.0,106.0,0.9,24.4,
6025,"res, aguayon",0.0,129.0,5.3,20.4,
6026,"res, agujas",0.0,153.0,7.9,20.4,
6027,"res, carne cocida",0.0,235.0,13.44,27.06,
6028,"res, carne grasosa con hueso",0.0,293.0,25.4,16.0,
6029,"res, carne grasosa sin hueso",0.0,293.0,25.4,16.0,
6030,"res, carne magra (sin grasa ni hueso)",0.0,140.0,6.3,20.9,
6031,"res, carne molida especial",0.0,173.0,10.0,20.7,
6032,"res, carne molida regular",0.0,262.0,21.2,17.9,
6033,"res, carne muy grasosa (carne con mucho tejido grasoso)",0.0,388.0,36.23,14.4,
