alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
5075,"Bebida embotellada sabor naranja y toronja (no jugo), sin gas",11.42,45.68,0,0,
5076,"Bebida embotellada sabor uva (no jugo), sin gas",9.36,37.42,0,0,
5077,"Bebida energetica (tipo red bull, boost, monster)",10.65,43.1,0.02,0.07,
5078,"Bebida rehidratante (gatorade, powerade)",5.62,22.5,0,0,
5079,Bebidas o aguas de sabor con azucar adicionada (industrializadas),10.4,40.4,0,0.02,
5080,Bebidas o aguas de sabor sin azucar adicionada,0,0,0,0,
5081,"Cafe capuccino, preparacion estandarizada",8.06,49.26,1.4,1.52,
5082,Cafe con azucar,5.23,22.5,0.01,0.35,
5083,"Cafe con azucar, en polvo",68.5,394.45,9.05,9.75,
5084,"Cafe con leche con azucar, preparacion estandarizada",8.28,50.8,1.39,1.48,
5085,"Cafe con leche sin azucar, preparacion estandarizada",3.19,33.33,1.55,1.65,
5086,"Cafe de grano descafeinado, preparado con agua",0,0,0,0.1,
5087,Cafe de grano en polvo,63.4,226,14.8,12.6,
5088,"Cafe diluido sin azucar, industrializado",0.34,2,0,0.1,
5089,"Cafe diluido sin azucar, preparacion estandarizada",1.54,7.2,0.01,0.25,
5090,"Cafe enriquecido, en polvo",64.53,295.15,2.15,12.91,
5091,"Cafe expresso, preparacion estandarizada",61.14,286.22,0.41,9.89,
5092,"Cafe frappe (moka, capuccino, c/ chantilli, etc.), preparacion estandarizada",13.4,67,0.93,1.53,
5093,"Cafe instantaneo descafeinado, preparado con agua",0.43,2,0,0.12,
5094,"Cafe instantaneo, en polvo (tipo nescafe clasico)",75.4,353,0.5,12.2,
5095,"Cafe o te con azucar, preparacion estandarizada",2.63,10.69,0,0.1,
5096,Cafe promedio (con azucar y sin azucar),3.67,15,0.01,0.12,
5097,Cerveza de raiz (sin alcohol),10.6,41,0,0,
5098,"Esquimo casero (todos sabores), preparacion estandarizada",11.05,94.13,2.78,2.73,
5099,"Formula lactea entera (tipo nutrileche), fluida",5.67,55.67,3,1.92,
5100,"Frape de frutas con leche, helado o yogurt (smoothie), industrializado",13.38,100,4.58,2.5,
5101,"Frappe de frutas, sin leche (todos sabores), industrializado",9.39,45.44,0.55,0.94,
5102,"Frapuccino (promedio), preparación estandarizada",10.2,61.43,1.92,1.1,
5103,"Frapuccino c/chocolate leche light, preparacion estandarizada",11.15,60.43,1.39,1.1,
5104,"Frapuccino c/chocolate regular, preparacion estandarizada",11.22,68.24,2.18,1.19,
5105,"Frapuccino de cafe c/leche light, preparacion estandarizada",9.17,54.15,1.62,1.01,
5106,"Frapuccino de cafe regular, preparacion estandarizada",9.25,62.89,2.5,1.11,
5107,Hielo en cubos,0,0,0,0,
5108,Jarabes de sabores (concentrados para agua de sabor),58.22,289.1,2.96,1.51,
5109,"Jugo de arandano, industrializado",14.28,59.4,0.18,0.25,
5110,"Jugo de arroz, preparacion estandarizada",1.39,6.35,0.01,0.12,
5112,"Jugo de betabel, natural",5.1,20.87,0.05,0.8,
5114,"Jugo de ciruela pasa, industrializado",15.24,60.42,0,0.13,
5115,"Jugo de fruta con verdura, industrializado (tipo chispazo)",8.85,35.24,0,0.14,
5116,"Jugo de fruta con verdura, natural",11.15,46,0.01,0.3,
5117,"Jugo de frutas con verduras con azúcar, natural",14.85,60.21,0.01,0.29,
5118,"Jugo de frutas, industrializado (tipo boing, del valle, sonrisa y jumex)",12.64,50.91,0.11,0.13,
5119,"Jugo de limon, natural",6.9,22,0.24,0.35,
